Customer ID,Product ID,Purchase Quantity,Unit Price,Discount,Payment Method,Date of Purchase,Sales Channel,Payment Status,Unit Price,Discount,Name,Age,Gender,Income Level,Loyalty Score,Customer Segment,Location
113,50,4,,,Wallet,2023-08-19,In-store,Completed,106.47171189906015,0,Customer_113,45,Male,Medium,41.97273169261223,Gold,City A
488,43,3,,,Cash,2023-06-06,In-store,Completed,195.19300158534787,15,Customer_488,21,Female,Medium,89.41908746641182,Gold,City B
327,11,1,,,Cash,2022-01-29,Online,Completed,131.0123186571357,15,Customer_327,64,Female,Low,20.185345212294838,Gold,City C
30,45,2,,,Credit Card,2022-10-31,In-store,Completed,122.11584860153309,10,Customer_30,44,Female,Medium,34.780920790219305,Silver,City A
135,3,4,,,Wallet,2023-04-10,In-store,Completed,125.54741293238402,10,Customer_135,18,Female,Medium,13.124487768238758,Gold,City B
67,12,2,,,Credit Card,2023-05-17,In-store,Completed,238.70034880107426,10,Customer_67,46,Female,High,76.1027902502028,Platinum,City B
65,3,1,,,Credit Card,2023-03-22,Online,Completed,125.54741293238402,10,Customer_65,59,Female,Low,77.98453951511436,Platinum,City B
292,42,2,,,Credit Card,2023-09-20,In-store,Completed,237.17102225959346,20,Customer_292,35,Female,Medium,73.64020150656405,Silver,City A
25,27,1,,,Credit Card,2023-05-05,In-store,Completed,88.67008771113203,0,Customer_25,50,Male,Medium,85.12069140487687,Gold,City B
37,49,4,,,Wallet,2024-02-20,Online,Completed,253.8389333684991,15,Customer_37,20,Female,Medium,85.05817290942419,Silver,City C
1,2,2,,,Cash,2023-03-04,In-store,Completed,110.16531494991115,20,Customer_1,56,Male,Medium,22.38176148226231,Gold,City B
399,49,2,,,Credit Card,2023-07-13,Online,Completed,253.8389333684991,15,Customer_399,49,Male,Low,81.29857387160935,Silver,City C
37,16,1,,,Credit Card,2022-12-25,In-store,Pending,55.62990842810848,10,Customer_37,20,Female,Medium,85.05817290942419,Silver,City C
141,2,1,,,Credit Card,2022-04-01,Online,Pending,110.16531494991115,20,Customer_141,26,Female,Medium,11.730818896239448,Gold,City A
232,30,3,,,Credit Card,2022-02-22,Online,Completed,39.04712475719107,20,Customer_232,50,Male,High,72.7169069766308,Platinum,City B
136,20,1,,,Cash,2023-12-31,Online,Completed,158.9325863983742,15,Customer_136,22,Male,Medium,3.2526179491251916,Silver,City C
389,38,1,,,Cash,2024-05-09,In-store,Pending,36.79507170839833,10,Customer_389,25,Female,Low,51.908178513621806,Platinum,City A
188,28,3,,,Cash,2023-08-12,In-store,Completed,54.59011952271367,5,Customer_188,44,Male,High,70.64757264869012,Gold,City A
128,25,1,,,Cash,2022-07-23,Online,Completed,101.43359031385688,15,Customer_128,52,Female,Medium,18.552551570312115,Gold,City B
201,32,1,,,Credit Card,2023-07-10,Online,Completed,102.82650440491234,15,Customer_201,56,Male,Low,54.75923761537362,Gold,City C
127,10,3,,,Wallet,2022-06-05,Online,Completed,207.59477625782523,10,Customer_127,44,Male,Medium,96.81934279147217,Silver,City C
257,42,4,,,Cash,2022-01-02,Online,Completed,237.17102225959346,20,Customer_257,40,Female,High,17.968310887024195,Platinum,City A
164,40,4,,,Cash,2022-12-23,Online,Completed,53.42950189417818,5,Customer_164,45,Female,Low,10.493017841817487,Silver,City B
35,33,1,,,Credit Card,2024-04-04,Online,Completed,105.91538138969257,20,Customer_35,64,Male,Medium,79.74260216069281,Platinum,City C
194,13,1,,,Credit Card,2023-07-23,Online,Completed,150.85767256886348,0,Customer_194,41,Female,Medium,87.09691237460856,Gold,City B
191,41,3,,,Credit Card,2024-03-12,Online,Completed,18.319800343234036,10,Customer_191,50,Female,Medium,5.1971283651472415,Silver,City A
104,42,3,,,Credit Card,2022-02-27,Online,Completed,237.17102225959346,20,Customer_104,34,Female,High,22.07696127887604,Gold,City A
23,47,4,,,Wallet,2022-09-11,Online,Completed,62.26143112140187,20,Customer_23,19,Male,Low,68.32587636595959,Silver,City C
265,37,2,,,Wallet,2022-06-29,Online,Completed,146.65669653805293,10,Customer_265,19,Female,Medium,44.53052550026655,Silver,City A
290,16,1,,,Cash,2023-05-08,Online,Completed,55.62990842810848,10,Customer_290,42,Male,Low,16.761921628831765,Gold,City C
430,45,2,,,Wallet,2023-10-31,In-store,Completed,122.11584860153309,10,Customer_430,36,Female,Medium,10.687692309474384,Silver,City A
462,22,2,,,Cash,2022-02-04,Online,Completed,38.376680486258245,20,Customer_462,64,Female,Low,86.27970775432286,Silver,City B
384,20,3,,,Cash,2022-03-16,In-store,Completed,158.9325863983742,15,Customer_384,24,Female,Low,66.82127985550163,Gold,City A
260,50,1,,,Wallet,2022-10-16,In-store,Completed,106.47171189906015,0,Customer_260,59,Male,Low,18.097695270948975,Platinum,City A
414,43,1,,,Cash,2023-01-06,In-store,Completed,195.19300158534787,15,Customer_414,22,Female,Medium,25.677656772050796,Gold,City C
479,27,3,,,Credit Card,2023-08-10,Online,Completed,88.67008771113203,0,Customer_479,53,Female,High,69.24361513243696,Gold,City C
358,41,2,,,Cash,2022-11-25,In-store,Completed,18.319800343234036,10,Customer_358,20,Male,Medium,78.23854840582734,Silver,City B
75,16,3,,,Credit Card,2023-08-13,Online,Completed,55.62990842810848,10,Customer_75,48,Male,Medium,68.78857223008133,Platinum,City C
355,34,4,,,Wallet,2024-02-06,In-store,Completed,135.1463883479689,0,Customer_355,42,Female,Medium,97.71741842213173,Silver,City B
72,32,1,,,Wallet,2024-02-16,Online,Completed,102.82650440491234,15,Customer_72,27,Male,Medium,93.20281055100175,Platinum,City B
259,26,4,,,Cash,2022-10-31,Online,Completed,122.72573260089811,5,Customer_259,47,Female,Medium,97.13950940416396,Silver,City A
398,25,3,,,Credit Card,2023-08-02,In-store,Completed,101.43359031385688,15,Customer_398,19,Male,Medium,76.48832615421283,Silver,City A
188,2,1,,,Cash,2022-08-09,In-store,Completed,110.16531494991115,20,Customer_188,44,Male,High,70.64757264869012,Gold,City A
461,12,4,,,Wallet,2022-06-13,Online,Completed,238.70034880107426,10,Customer_461,22,Female,Low,73.68737449441821,Platinum,City C
173,40,4,,,Cash,2023-04-25,In-store,Pending,53.42950189417818,5,Customer_173,37,Female,Low,32.64613082439919,Silver,City B
480,9,2,,,Cash,2023-03-31,Online,Completed,36.55308824280915,15,Customer_480,51,Female,Medium,99.12559937021884,Silver,City C
290,12,1,,,Credit Card,2023-01-10,Online,Completed,238.70034880107426,10,Customer_290,42,Male,Low,16.761921628831765,Gold,City C
45,26,4,,,Wallet,2022-08-08,Online,Completed,122.72573260089811,5,Customer_45,42,Female,Low,15.86051052930737,Platinum,City A
61,9,4,,,Cash,2023-11-15,In-store,Completed,36.55308824280915,15,Customer_61,57,Female,Low,63.18135270166684,Silver,City A
83,10,2,,,Credit Card,2022-09-11,Online,Completed,207.59477625782523,10,Customer_83,62,Female,Low,4.5742033812512854,Gold,City B
123,32,4,,,Cash,2023-12-23,Online,Completed,102.82650440491234,15,Customer_123,52,Female,Medium,65.1666825375885,Silver,City A
358,34,4,,,Credit Card,2022-07-07,Online,Completed,135.1463883479689,0,Customer_358,20,Male,Medium,78.23854840582734,Silver,City B
16,48,4,,,Credit Card,2022-07-10,Online,Completed,62.80542454383753,0,Customer_16,20,Female,Medium,40.845321307069874,Gold,City A
66,20,2,,,Cash,2023-01-24,In-store,Completed,158.9325863983742,15,Customer_66,21,Male,Medium,10.698063882695841,Gold,City B
424,39,4,,,Wallet,2022-08-03,In-store,Completed,174.0613724896272,20,Customer_424,33,Female,Medium,12.188609333694755,Gold,City C
145,2,4,,,Wallet,2023-01-10,In-store,Completed,110.16531494991115,20,Customer_145,59,Male,Medium,20.052472670033673,Platinum,City B
375,1,1,,,Credit Card,2022-03-27,In-store,Completed,275.45931069253055,5,Customer_375,60,Female,Medium,39.61726916092554,Silver,City C
162,36,1,,,Wallet,2023-04-19,Online,Completed,220.44713346786494,15,Customer_162,24,Male,Medium,3.9618825348357145,Silver,City B
234,24,2,,,Credit Card,2023-09-10,Online,Completed,219.36316887958816,10,Customer_234,23,Male,Medium,42.54933344480754,Silver,City B
380,27,3,,,Wallet,2024-04-23,Online,Completed,88.67008771113203,0,Customer_380,52,Male,Medium,37.325179162934006,Platinum,City C
144,2,1,,,Cash,2024-03-18,Online,Completed,110.16531494991115,20,Customer_144,43,Female,Medium,43.030589489946266,Platinum,City B
